session_id,player_id,session_date,hour_of_day,is_evening,game_type,duration_mins,bets_placed,avg_stake,near_miss_count,returned_next_day,rg_flag,device
S0000135,P00010,2024-07-10,14,False,sports_betting,4,13,4.55,1,False,False,mobile
S0000136,P00010,2024-09-06,14,False,live_casino,20,32,3.22,0,False,False,mobile
S0000137,P00010,2024-09-19,17,False,slots,29,53,7.81,1,False,False,mobile
S0000138,P00010,2024-10-04,15,False,slots,50,139,25.72,2,False,False,mobile
S0000139,P00010,2024-09-15,16,False,table_games,8,21,6.19,0,False,False,mobile
S0000140,P00010,2024-09-10,17,False,live_casino,9,24,5.67,0,False,False,mobile
S0000141,P00010,2024-10-24,18,True,sports_betting,146,555,17.69,0,True,False,mobile
S0000142,P00010,2024-10-21,9,False,slots,57,208,15.0,0,False,False,mobile
S0000143,P00010,2024-07-16,22,True,slots,54,90,12.96,0,True,False,mobile
S0000144,P00010,2024-07-17,8,False,slots,6,21,7.53,0,False,False,mobile
S0000145,P00010,2024-10-26,18,True,live_casino,8,18,2.99,1,False,False,mobile
S0000146,P00010,2024-08-30,17,False,slots,12,39,30.29,2,True,False,mobile
S0000147,P00010,2024-09-30,19,True,slots,26,68,4.19,0,True,False,mobile
S0000148,P00010,2024-10-22,19,True,slots,4,13,5.34,1,True,False,mobile
S0000149,P00010,2024-07-09,0,False,live_casino,11,29,10.96,0,False,False,mobile
S0000150,P00010,2024-08-11,19,True,sports_betting,11,35,17.77,0,False,False,mobile
S0000151,P00010,2024-09-08,21,True,live_casino,68,197,16.54,1,True,False,mobile
S0000152,P00010,2024-08-09,17,False,sports_betting,7,26,7.94,0,False,False,mobile
S0000153,P00010,2024-10-12,18,True,table_games,18,37,3.05,0,True,False,mobile
S0000154,P00013,2024-08-20,21,True,live_casino,32,125,1.7,2,True,False,desktop
S0000155,P00013,2024-07-24,18,True,sports_betting,12,46,3.08,0,False,False,desktop
S0000156,P00013,2024-07-24,10,False,slots,79,176,23.05,2,True,False,desktop
S0000157,P00013,2024-07-09,21,True,slots,81,255,3.62,0,True,False,desktop
S0000158,P00013,2024-08-12,14,False,slots,16,51,1.49,1,False,False,desktop
S0000159,P00013,2024-08-15,19,True,slots,64,196,5.46,0,True,False,desktop
S0000160,P00013,2024-07-16,18,True,sports_betting,59,233,7.94,0,True,False,desktop
S0000161,P00013,2024-08-05,17,False,slots,46,160,1.01,0,False,False,desktop
S0000162,P00013,2024-07-11,22,True,slots,13,35,24.32,1,True,False,desktop
S0000163,P00013,2024-08-22,12,False,slots,169,590,32.69,2,True,False,desktop
S0000164,P00013,2024-07-22,6,False,live_casino,22,61,7.53,0,True,False,desktop
S0000165,P00013,2024-09-05,13,False,live_casino,38,124,20.85,0,True,False,desktop
S0000166,P00013,2024-08-27,19,True,slots,15,55,4.59,0,False,False,desktop
S0000167,P00013,2024-09-13,20,True,slots,39,115,5.71,0,False,False,desktop
S0000168,P00013,2024-08-27,12,False,sports_betting,89,235,1.48,0,True,False,desktop
S0000169,P00013,2024-08-20,11,False,live_casino,9,31,14.24,1,False,False,desktop
S0000170,P00013,2024-09-06,21,True,slots,37,73,4.13,0,False,False,desktop
S0000171,P00013,2024-09-17,21,True,slots,6,21,0.88,0,False,False,desktop
S0000172,P00013,2024-07-18,21,True,live_casino,4,8,8.04,0,False,False,desktop
S0000173,P00013,2024-08-04,14,False,sports_betting,234,594,0.85,1,False,False,desktop
S0000174,P00013,2024-08-10,14,False,slots,25,74,15.39,1,False,False,desktop
S0000175,P00013,2024-09-16,19,True,slots,27,46,3.36,0,True,False,desktop
S0000176,P00013,2024-08-10,6,False,live_casino,8,19,9.31,1,False,False,desktop
S0000177,P00013,2024-08-27,14,False,sports_betting,15,58,10.96,1,True,False,desktop
S0000178,P00013,2024-07-18,20,True,slots,18,37,6.53,2,True,False,desktop
S0000179,P00013,2024-09-15,15,False,slots,4,9,2.02,0,False,False,desktop
S0000180,P00013,2024-07-14,10,False,slots,34,94,7.39,0,False,False,desktop
S0000181,P00013,2024-08-14,9,False,sports_betting,19,42,7.18,0,False,False,desktop
S0000182,P00014,2024-04-11,17,False,live_casino,30,81,26.82,0,False,False,mobile
S0000183,P00014,2024-04-09,13,False,slots,239,479,1.47,2,False,False,mobile
S0000184,P00014,2024-05-16,11,False,slots,22,49,2.05,0,True,False,mobile
S0000185,P00014,2024-05-23,11,False,slots,32,75,18.18,0,True,False,mobile
S0000186,P00014,2024-04-18,21,True,slots,19,44,12.08,1,True,False,mobile
S0000187,P00014,2024-04-10,21,True,slots,6,22,1.03,1,True,False,mobile
S0000188,P00014,2024-04-12,11,False,slots,10,20,2.77,1,False,False,mobile
S0000189,P00014,2024-03-31,8,False,slots,6,9,13.24,0,True,False,mobile
S0000190,P00014,2024-05-11,8,False,sports_betting,13,32,7.17,0,False,False,mobile
S0000191,P00014,2024-05-06,17,False,live_casino,4,7,5.05,1,True,False,mobile
S0000192,P00014,2024-05-16,21,True,table_games,39,63,2.77,0,False,False,mobile
S0000193,P00014,2024-05-20,13,False,sports_betting,15,42,14.17,0,False,False,mobile
S0000194,P00014,2024-05-19,14,False,slots,27,100,2.48,2,False,False,mobile
S0000195,P00014,2024-05-22,20,True,slots,12,45,12.69,1,True,False,mobile
S0000196,P00014,2024-05-04,19,True,slots,54,197,8.07,0,False,False,mobile
S0000197,P00014,2024-05-10,22,True,slots,68,120,13.74,0,True,False,mobile
S0000198,P00014,2024-05-14,19,True,slots,24,86,4.24,1,False,False,mobile
S0000199,P00014,2024-05-05,9,False,slots,28,87,31.19,1,False,False,mobile
S0000200,P00014,2024-04-23,14,False,slots,21,63,11.32,2,False,False,mobile
S0000201,P00014,2024-04-02,21,True,live_casino,10,28,27.83,0,True,False,mobile
S0000202,P00014,2024-05-20,21,True,slots,26,92,8.26,1,False,False,mobile
S0000203,P00014,2024-05-10,20,True,slots,8,14,6.02,0,False,False,mobile
S0000204,P00014,2024-04-30,19,True,live_casino,29,63,4.25,1,True,False,mobile
S0000205,P00014,2024-04-17,15,False,live_casino,5,18,2.06,0,True,False,mobile
S0000206,P00014,2024-04-15,22,True,live_casino,97,175,2.38,0,True,False,mobile
S0000207,P00014,2024-04-01,23,True,slots,13,40,27.54,0,True,False,mobile
S0000208,P00014,2024-05-22,14,False,table_games,30,88,2.13,0,True,False,mobile
S0000209,P00020,2024-07-04,2,False,sports_betting,14,35,8.67,1,True,False,desktop
S0000210,P00020,2024-07-31,23,True,table_games,6,15,1.42,0,False,False,desktop
S0000211,P00020,2024-07-05,11,False,slots,17,37,2.22,1,True,False,desktop
S0000212,P00020,2024-07-20,8,False,sports_betting,13,33,7.92,0,False,False,desktop
S0000213,P00020,2024-07-28,23,True,slots,61,231,8.89,1,True,False,desktop
S0000214,P00020,2024-07-28,18,True,slots,10,37,7.31,0,False,False,desktop
S0000215,P00020,2024-07-05,4,False,sports_betting,48,174,5.88,1,True,False,desktop
S0000216,P00020,2024-07-02,6,False,slots,3,5,1.45,2,False,False,desktop
S0000217,P00020,2024-07-04,10,False,slots,7,26,11.88,0,False,False,desktop
S0000218,P00020,2024-07-14,0,False,live_casino,7,19,5.81,0,True,False,desktop
S0000219,P00020,2024-06-17,21,True,slots,21,39,7.52,0,True,False,desktop
S0000220,P00020,2024-08-05,16,False,slots,8,25,2.91,0,False,False,desktop
S0000221,P00020,2024-06-28,7,False,live_casino,23,89,14.09,0,True,False,desktop
S0000222,P00020,2024-06-16,23,True,live_casino,33,51,71.44,1,True,False,desktop
S0000223,P00020,2024-07-13,18,True,slots,69,189,23.05,0,True,False,desktop
S0000224,P00020,2024-08-06,16,False,live_casino,35,105,4.34,0,False,False,desktop
S0000225,P00020,2024-06-23,11,False,live_casino,17,32,8.0,0,False,False,desktop
S0000226,P00020,2024-06-30,23,True,live_casino,12,29,1.37,1,False,False,desktop
S0000227,P00020,2024-08-08,19,True,live_casino,23,72,5.46,2,False,False,desktop
S0000228,P00020,2024-07-31,17,False,sports_betting,12,46,15.53,0,False,False,desktop
S0000229,P00020,2024-06-16,19,True,table_games,53,153,1.81,1,True,False,desktop
S0000230,P00020,2024-08-08,21,True,live_casino,12,24,14.28,0,True,False,desktop
S0000231,P00020,2024-08-15,18,True,slots,9,31,25.77,0,False,False,desktop
S0000232,P00020,2024-07-29,18,True,live_casino,22,76,7.63,1,False,False,desktop
S0000233,P00020,2024-07-25,18,True,slots,27,69,10.08,1,True,False,desktop
S0000234,P00020,2024-06-22,21,True,table_games,18,45,8.12,0,True,False,desktop
S0000235,P00020,2024-08-01,11,False,sports_betting,57,180,1.55,1,True,False,desktop
S0000236,P00020,2024-06-25,10,False,slots,3,11,2.96,1,False,False,desktop
S0000237,P00023,2024-07-29,7,False,live_casino,42,142,19.44,0,False,False,mobile
S0000238,P00023,2024-08-16,17,False,table_games,68,227,23.72,0,False,False,mobile
S0000239,P00023,2024-08-01,18,True,sports_betting,16,58,1.59,1,False,False,mobile
S0000240,P00023,2024-07-29,21,True,table_games,99,245,3.3,0,True,False,mobile
S0000241,P00023,2024-07-30,14,False,live_casino,59,198,6.08,0,True,False,mobile
S0000242,P00023,2024-07-28,17,False,slots,57,163,5.15,1,True,False,mobile
S0000243,P00023,2024-08-10,19,True,live_casino,5,19,4.38,0,True,False,mobile
S0000244,P00023,2024-07-26,18,True,slots,7,22,1.96,0,False,False,mobile
S0000245,P00023,2024-08-11,15,False,live_casino,16,55,6.96,0,False,False,mobile
S0000246,P00023,2024-07-24,18,True,slots,6,23,3.92,0,True,False,mobile
S0000247,P00026,2024-11-07,4,False,sports_betting,31,93,12.56,0,True,False,desktop
S0000248,P00026,2024-08-28,23,True,slots,27,106,21.55,1,False,False,desktop
S0000249,P00026,2024-08-24,23,True,live_casino,20,65,1.64,1,True,False,desktop
S0000250,P00026,2024-09-24,0,False,live_casino,29,54,4.46,0,True,False,desktop
S0000251,P00026,2024-11-08,11,False,slots,120,278,6.46,1,True,False,desktop
S0000252,P00026,2024-09-10,6,False,sports_betting,17,42,9.94,1,False,False,desktop
S0000253,P00026,2024-10-16,9,False,slots,18,51,2.42,0,False,False,desktop
S0000254,P00026,2024-11-15,3,False,live_casino,34,87,2.17,0,False,False,desktop
S0000255,P00026,2024-10-07,15,False,live_casino,28,47,11.15,0,False,False,desktop
S0000256,P00026,2024-11-04,12,False,slots,26,72,5.89,1,False,False,desktop
S0000257,P00026,2024-09-10,18,True,sports_betting,34,125,3.01,0,True,False,desktop
S0000258,P00026,2024-10-26,13,False,table_games,11,32,13.91,0,False,False,desktop
S0000259,P00026,2024-10-23,15,False,slots,42,144,2.08,1,False,False,desktop
S0000260,P00026,2024-08-31,9,False,sports_betting,13,48,1.47,0,False,False,desktop
S0000261,P00026,2024-08-14,10,False,slots,71,283,5.22,1,True,False,desktop
S0000262,P00026,2024-10-28,21,True,live_casino,17,64,11.17,0,True,False,desktop
S0000263,P00026,2024-10-15,19,True,live_casino,45,108,0.93,0,False,False,desktop
S0000264,P00026,2024-10-03,11,False,slots,40,151,6.66,0,True,False,desktop
S0000265,P00026,2024-11-02,7,False,slots,14,34,4.87,1,False,False,desktop
S0000266,P00026,2024-08-26,17,False,live_casino,55,196,2.48,0,True,False,desktop
S0000267,P00026,2024-08-16,7,False,slots,18,34,2.2,0,True,False,desktop
S0000268,P00026,2024-09-17,11,False,live_casino,20,38,4.06,0,False,False,desktop
S0000269,P00026,2024-10-21,21,True,live_casino,25,75,3.22,0,False,False,desktop
S0000270,P00026,2024-09-20,14,False,sports_betting,12,27,1.66,1,True,False,desktop
S0000271,P00026,2024-11-13,21,True,sports_betting,46,182,12.74,0,True,False,desktop
S0000272,P00026,2024-11-07,18,True,live_casino,16,24,6.14,0,True,False,desktop
S0000273,P00026,2024-10-11,14,False,slots,36,86,5.14,1,False,False,desktop
S0000274,P00026,2024-08-26,21,True,slots,69,225,4.55,0,False,False,desktop
S0000275,P00026,2024-10-09,8,False,slots,14,30,3.17,1,True,False,desktop
S0000276,P00026,2024-09-01,22,True,live_casino,12,27,25.24,1,True,False,desktop
S0000277,P00026,2024-11-14,21,True,slots,21,67,21.36,2,False,False,desktop
S0000278,P00026,2024-08-31,16,False,live_casino,8,27,2.26,0,True,False,desktop
S0000279,P00026,2024-08-18,9,False,slots,2,6,1.09,0,True,False,desktop
S0000280,P00026,2024-08-14,9,False,live_casino,38,128,27.0,0,True,False,desktop
S0000281,P00031,2024-07-25,20,True,slots,39,97,11.51,0,False,False,mobile
S0000282,P00031,2024-06-28,18,True,slots,31,54,2.34,2,True,False,mobile
S0000283,P00031,2024-07-18,21,True,live_casino,34,67,4.0,0,False,False,mobile
S0000284,P00031,2024-07-22,16,False,live_casino,5,17,18.25,0,False,False,mobile
S0000285,P00031,2024-06-29,11,False,slots,10,19,40.67,0,False,False,mobile
S0000286,P00031,2024-06-30,12,False,slots,69,202,7.76,1,False,False,mobile
S0000287,P00031,2024-06-29,9,False,slots,71,230,14.76,1,False,False,mobile
S0000288,P00031,2024-07-27,18,True,slots,47,187,14.15,1,True,False,mobile
S0000289,P00031,2024-06-28,18,True,live_casino,30,50,19.88,0,False,False,mobile
S0000290,P00031,2024-07-10,19,True,sports_betting,26,58,2.82,1,False,False,mobile
S0000291,P00031,2024-07-18,11,False,live_casino,10,31,7.87,1,True,False,mobile
S0000292,P00031,2024-07-12,22,True,slots,13,48,16.48,1,False,False,mobile
S0000293,P00031,2024-07-07,7,False,slots,49,123,3.39,1,False,False,mobile
S0000294,P00031,2024-07-03,17,False,table_games,18,59,11.18,1,False,False,mobile
S0000295,P00031,2024-07-07,21,True,slots,8,20,2.11,0,True,False,mobile
S0000296,P00031,2024-07-27,15,False,live_casino,107,178,5.87,1,False,False,mobile
S0000297,P00031,2024-07-12,22,True,live_casino,15,37,7.42,0,True,False,mobile
S0000298,P00031,2024-07-25,17,False,slots,6,21,21.55,1,True,False,mobile
S0000299,P00031,2024-06-27,10,False,slots,15,42,15.76,1,True,False,mobile
S0000300,P00031,2024-07-14,13,False,slots,6,13,5.39,0,True,False,mobile
S0000301,P00036,2024-03-23,19,True,slots,7,17,9.27,0,True,False,mobile
S0000302,P00036,2024-03-28,20,True,slots,70,276,11.38,1,False,False,mobile
S0000303,P00036,2024-03-26,11,False,live_casino,37,131,13.62,1,False,False,mobile
S0000304,P00047,2024-08-06,20,True,slots,17,60,3.47,0,False,False,desktop
S0000305,P00047,2024-07-25,18,True,slots,15,25,2.97,1,False,False,desktop
S0000306,P00047,2024-07-13,20,True,sports_betting,22,43,1.41,0,False,False,desktop
S0000307,P00047,2024-07-25,15,False,live_casino,16,61,3.66,0,True,False,desktop
S0000308,P00047,2024-07-31,22,True,table_games,4,13,7.44,0,True,False,desktop
S0000309,P00047,2024-08-10,11,False,sports_betting,6,18,4.6,0,False,False,desktop
S0000310,P00047,2024-07-14,8,False,slots,12,40,1.88,1,True,False,desktop
S0000311,P00048,2024-04-09,9,False,slots,11,27,4.03,0,False,False,mobile
S0000312,P00048,2024-04-19,19,True,sports_betting,10,37,6.94,2,True,False,mobile
S0000313,P00048,2024-03-16,10,False,live_casino,22,50,18.03,0,True,False,mobile
S0000314,P00048,2024-04-02,15,False,slots,21,44,7.16,1,True,False,mobile
S0000315,P00048,2024-02-24,18,True,slots,36,105,4.8,0,True,False,mobile
S0000316,P00048,2024-03-21,8,False,live_casino,4,12,10.12,0,False,False,mobile
S0000317,P00048,2024-03-22,9,False,live_casino,28,69,2.79,0,False,False,mobile
S0000318,P00048,2024-04-30,19,True,slots,20,59,30.11,1,True,False,mobile
S0000319,P00048,2024-04-21,17,False,live_casino,51,87,1.11,0,False,False,mobile
S0000320,P00048,2024-03-14,14,False,sports_betting,81,125,6.63,0,True,False,mobile
S0000321,P00048,2024-04-30,21,True,slots,19,61,3.98,0,True,False,mobile
S0000322,P00048,2024-03-06,14,False,live_casino,39,73,2.87,0,False,False,mobile
S0000323,P00048,2024-02-26,18,True,sports_betting,34,81,13.46,0,True,False,mobile
S0000324,P00048,2024-04-24,10,False,sports_betting,21,65,2.95,0,False,False,mobile
S0000325,P00048,2024-02-23,18,True,sports_betting,8,16,3.93,0,False,False,mobile
S0000326,P00048,2024-04-19,13,False,slots,46,171,1.61,1,False,False,mobile
S0000327,P00048,2024-03-27,11,False,slots,7,25,7.27,0,True,False,mobile
S0000328,P00048,2024-02-26,21,True,slots,22,82,0.65,1,True,False,mobile
